La Nature|Légumes Et Plantes|Fèves|Faïo, Favo (Eg)(Av), Aussi Courrubieros (Av), Gousses Plus Longues Et Plus Larges, Fava (A), Favaroun (A), Petite Fève (A), Favanco Variété (X), Féverole (Vicia Faba), Favarello, Favarèu, Favaròu, Favaroun (X), Faveto Petite Fève (X), Favo Routo Fève Fraisée (X)
La Nature|Légumes Et Plantes|Fraise Des Bois|Maiousso (X), Amausso (X), Majofo (X), Majoufié Fraisier Sauvage (X)
La Nature|Légumes Et Plantes|Fraisier|Fraguier (A), Fraguie (P), Fresiè (Av), Fraguié (X), Fragas Fraise Type Capron (X), Frago (X), Frèso (X)
La Nature|Légumes Et Plantes|Framboise|Fragousto (X), Ambrous (X), Framboueso (X)
La Nature|Légumes Et Plantes|Haricot|Faiou Fajoou (Eg), Fayoou (A), Faïou (P), Fayoou (Av)Fahioou (Av), Faiòu (X)
La Nature|Légumes Et Plantes|Haricot|Variété De Haricots Fayoou Bigarrat Tacheté (A), Groumandoun (X), Quarantié (X), Quincarloto Bariolé (X), Uei De Perdris (X)
La Nature|Légumes Et Plantes|Haricot (Variété)|Mié Moussu (X)
La Nature|Légumes Et Plantes|Haricot Nankin (Variété)|Dènt De Vièio (X)
La Nature|Légumes Et Plantes|Haricots Blancs (Variété)|Faiòu Mahounen
La Nature|Légumes Et Plantes|Haricots Blancs à Écosser|Baneto, Mounjhettos Et Fayoou Negre (Av), Fayoou Blanc (Av)
La Nature|Légumes Et Plantes|Haricots Blancs Sans Fil|Mavounen, Mavoun (Av)
La Nature|Légumes Et Plantes|Haricots Noirs (Blanc Avec oeil Noir), Doloric à Onglets|Fayoou Banet, Fayoou Negre (Av), Haricots Secs Mounjhettos (Av), Mounjhetto (Av), Banetos Et Fayooux Banets (Av), Fayoou Negre (Av)
La Nature|Légumes Et Plantes|Haricots Verts|Baneto (Banetto Haricots Noirs (A))(Av), Banetos (P), à Écosser Fayoou Vert (Av), Baneto Dolichos, Haricot De Chine (X), Favoun (X)
La Nature|Légumes Et Plantes|Laitue|Lachugo, Grieou, Greou Coeur De Laitue Qui Monte (A), Lachugo Espigado (P), Montée En Graine Lachugo (Av)(X), Redouno Laitue Pommée (X)
La Nature|Légumes Et Plantes|Laitue (Jeune)|Lachuguetto (A), Pour Replanter
La Nature|Légumes Et Plantes|Laitue Longue, Chicon (Av)|Lachugo Longo (A)(Av)
La Nature|Légumes Et Plantes|Laitue Petites Rondes|Menudo, Merindolo Ttes Sortes De Salades Du Printemps(Av)
La Nature|Légumes Et Plantes|Laitue Pommée|Lachugo Redouno (A)(P)
La Nature|Légumes Et Plantes|Laitue Romaine|Lachugo Longo (P)(Av), Lachugard (X)
La Nature|Légumes Et Plantes|Laitue Sauvage|Lachugo Fèro (A)(P), Lachuguetto (Av)
La Nature|Légumes Et Plantes|Laitue Vivace|Cendrau, Breule, Couscouriho, Sauto Voulame (X), Garcirous (X), Lesego (X)
La Nature|Légumes Et Plantes|Laurier Sauce|Lausié, Baguié (Eg), Aussi Lauzier, Laurier, Baguier (A), Baguie (P), Loousiè (Av), Loouziè (Av), Baguié, Escrin (X), Laurié, Lausié (X)
La Nature|Légumes Et Plantes|Légume|Erre (Eg), Aussi Lieoume (P)
La Nature|Légumes Et Plantes|Lentilles|Lentiho (A)(Av)(X), Lentilho (A), Lentihoun Trilobée (X)
La Nature|Légumes Et Plantes|Lentilles D'Eau|Limoun (X), Nadoun (X), Pampaieto (X), Tirounado (X)
La Nature|Légumes Et Plantes|Lieoume|Légumes En Général (A), Lioume Petit Fruit Et Herbes Potagères (Av)
La Nature|Légumes Et Plantes|Maïs|Blad Di Roumo, Babarié, Mays, Blad De Barbarie (A)(P), Bla De Barbarie (Av), Blad De Roumo (X), Indoun (X), Meio (X), Mihas (X), Blad Turqués (X)
La Nature|Légumes Et Plantes|Melon D'Eau|Cougourdo Per Counfi (Av), Melon Blanc à Confire, Meraviho Espèce De Melon D'Eau (X)
La Nature|Légumes Et Plantes|Melons|Meloun(A)(P)(Av)(X), Mauvais Melon Barato A)
La Nature|Légumes Et Plantes|Melon|Meloun D'Ivèr De Morée, Galous Cantaloup (X), Poupoun (X)
La Nature|Légumes Et Plantes|Menthe|Mento (A)(Av)(X)
La Nature|Légumes Et Plantes|Menthe Des Champs|Faus Pulègi (X)
La Nature|Légumes Et Plantes|Navet|Navèou (A), Naveou (Av), Navèu (X)
La Nature|Légumes Et Plantes|Navet Rond|Rabo (A), Fort Commun En Haute Provence (Av), Gros Navet Blanc Rond, Large Et Applati Rabioun Petite Rave, Ravette (Av)
La Nature|Légumes Et Plantes|Oignon Sauvage|Pourriolo (X)
La Nature|Légumes Et Plantes|Oignon Sorte|Boutasso (X)
La Nature|Légumes Et Plantes|Oignons Verts|Sebetto (Ciboulette?), Sebeto (P), Ciboule Sebetto Petit Oignon, Ciboulette (Av), Cebetto (Av), Cebouleto (X), Civeto (X)
La Nature|Légumes Et Plantes|Oignons|Sebo, Rès De Sebo Tresse D'Oignons (Eg)(Av), Cebo, Sebo(A)(P), Ignoun (X), Cebo (Av)(X)
La Nature|Légumes Et Plantes|Oignons|Sebo Griado Germé, Seboula Plant (P), Cebaio Oignons En Général (X)
La Nature|Légumes Et Plantes|Oingons|Sebo Renardièvo Oignons Montés En Graine (Av)
La Nature|Légumes Et Plantes|Oignons Petit|Cebetto (Eg)(Av)(A)
La Nature|Légumes Et Plantes|Origan|Menugueto (A)(P)(X), Ourigan, Majurano Fero (A)(P), Aussi Menuguetto(A)(Av)(P), Ourigan (P), Majhurano Fèro (Av), Est Un Diurétique, Manuguetto (Av), Majourano Fèro (X)
La Nature|Légumes Et Plantes|Orobe, Pois Nains, Pois De Pigeon|Belleis Viando, Merevilhos (Av), Mereviho (Av), Menuvihoun (X)
La Nature|Légumes Et Plantes|Pastèque|Pastèquo (Eg), Pastequo (A)(P), Pastèco (Av)(X), Gergelino Pastèque Ronde (X)
La Nature|Légumes Et Plantes|Persil|Jus Vert (Juvet), Bonis Erbo, Juver (Eg), Juvèr (A), Bouennos Herbos (P), Jhouvèr, Jhouvert (Av), Boueneis Herbos (Av), Bouenos Herbos, Juvert (A), Bónis Erbo Fines Herbes (X), Juvert (X)
La Nature|Légumes Et Plantes|Petites Fèves, Fèves Naines|Favarot (Eg), Faverottos, Favetos (Av)
La Nature|Légumes Et Plantes|Petits Pois|Peze, Pese (Eg)(Av), Peses Verds (A)
La Nature|Légumes Et Plantes|Piments|Pimentoun Également Pebroun (A)(Av)(X), Pementoun (A)
La Nature|Légumes Et Plantes|Poireaux|Pouarre, Aussi Pouerri, Pouarri (A), Pouerri (P)(13)(Av), Pouerre (Av), Porre, Pòrri (X)
La Nature|Légumes Et Plantes|Poirée Blanche|Herbeto (Eg)(P)(A), Arbetto (A), Harbeto (P), Herbetto (Av), Erboulat (X)
La Nature|Légumes Et Plantes|Poirée Sauvage|Harbetos Feros (P), Pouerri Fer (P)
La Nature|Légumes Et Plantes|Pois Carrés, Haricot Ailé|Belleis Dents (Av), Ressemble à Une Dent
La Nature|Légumes Et Plantes|Pois Cassés|Pese Coupa
